,code,am
110,KRW-DOGE,11181877558826.729
11,KRW-QTUM,2149975363798.7646
6,KRW-ETC,2127317411788.3757
1,KRW-ETH,1462072554905.9902
5,KRW-XRP,925769979888.0421
0,KRW-BTC,844368199477.4193
22,KRW-ADA,826762383854.7228
27,KRW-EOS,706000513725.2058
36,KRW-BCH,500852852123.11066
55,KRW-BTT,460112776280.91547
4,KRW-LTC,413632785410.9536
74,KRW-VET,307368231362.50037
2,KRW-NEO,300724651299.234
19,KRW-GRS,241364633193.9807
82,KRW-LINK,234887436778.33557
31,KRW-ONT,162632409490.8686
12,KRW-LSK,158045566955.03027
25,KRW-BTG,148572950304.11545
114,KRW-DAWN,125454949227.24677
28,KRW-TRX,123160954976.11522
71,KRW-MLK,99414255356.59126
7,KRW-OMG,92611563544.41978
70,KRW-MED,88482097127.77371
93,KRW-DOT,84140069117.57628
14,KRW-XLM,81548151407.01428
56,KRW-MOC,81440696218.36922
16,KRW-KMD,78136125226.44872
59,KRW-MANA,66664874996.398735
91,KRW-MARO,66566701550.15416
10,KRW-XEM,66185361701.3872
75,KRW-CHZ,54799425459.30025
52,KRW-THETA,52112785584.651634
112,KRW-PUNDIX,47506262211.854485
9,KRW-WAVES,46012185254.88448
8,KRW-SNT,45638094599.498795
99,KRW-BCHA,44739572553.34582
3,KRW-MTL,43596048349.37808
51,KRW-BSV,43567476774.44877
88,KRW-SXP,43287925130.535194
13,KRW-STEEM,41469287883.62185
83,KRW-XTZ,36400556951.59226
18,KRW-STORJ,34444491540.18923
17,KRW-ARK,34088445570.42754
29,KRW-SC,33943187825.99574
86,KRW-CRO,32221394206.958458
62,KRW-ATOM,27648346775.51232
103,KRW-META,27511309399.375793
24,KRW-POWR,27094106196.871822
15,KRW-ARDR,26862182583.555016
113,KRW-FLOW,25076077568.483414
97,KRW-STRAX,25043050569.08256
47,KRW-GAS,22823666913.800903
94,KRW-SRM,22769810363.172733
78,KRW-DKA,22119545075.61502
64,KRW-CRE,21465168024.275455
45,KRW-MFT,21259712850.007847
107,KRW-CBK,21164888775.427803
92,KRW-PLA,20974781477.42285
95,KRW-MVL,19451230209.898304
48,KRW-UPP,18401988001.86123
58,KRW-TFUEL,18301527211.790253
96,KRW-PCI,17226630274.702663
38,KRW-BAT,16257067897.665878
84,KRW-BORA,16244013487.155865
66,KRW-MBL,16082817472.527847
42,KRW-CVC,15702964433.237835
87,KRW-TON,15646248290.50204
102,KRW-SSX,15374150755.376453
60,KRW-ANKR,14904504747.3167
73,KRW-ORBS,14543967678.706116
116,KRW-STX,14458115208.487995
39,KRW-IOST,13694221244.901953
32,KRW-ZIL,13517966121.060282
21,KRW-EMC2,12766120012.327284
57,KRW-ENJ,11830539622.547201
46,KRW-ONG,11461074566.427176
111,KRW-STRK,11371213250.030907
34,KRW-ZRX,11286949571.233496
115,KRW-AXS,10819876702.123861
104,KRW-OBSR,10562068212.178188
76,KRW-PXL,10460878492.357698
20,KRW-REP,10266837789.09578
40,KRW-DMT,10023274408.155045
50,KRW-KNC,9919682770.641918
69,KRW-HBAR,9889091272.699352
108,KRW-SAND,9809756422.561455
85,KRW-JST,9322875621.649958
63,KRW-TT,9096683408.359707
41,KRW-RFR,8699404641.642776
43,KRW-IQ,8550180352.01343
80,KRW-KAVA,8466193965.289295
89,KRW-LAMB,8395306523.999259
72,KRW-STPT,8335322436.279314
67,KRW-TSHP,8086203126.943201
77,KRW-STMX,7991400104.946681
23,KRW-SBD,7913403511.5548725
100,KRW-GLM,7858200199.721586
26,KRW-ICX,7371556036.706914
79,KRW-HIVE,7104770793.585497
33,KRW-POLY,6818490953.844962
98,KRW-AQT,6034499149.64435
105,KRW-FCT2,5924351048.847406
81,KRW-AHT,5837436207.425351
109,KRW-HUM,5792529842.608525
53,KRW-EDR,5782257149.78454
44,KRW-IOTA,5475426942.159745
30,KRW-IGNIS,5383210553.072903
90,KRW-HUNT,5246601928.365996
61,KRW-AERGO,4996666382.521051
35,KRW-LOOM,4799224267.502766
101,KRW-QTCON,4752755512.019992
49,KRW-ELF,4645528141.27609
54,KRW-QKC,4533767717.393767
37,KRW-ADX,4210219106.0664806
65,KRW-SOLVE,3878183109.3372083
68,KRW-WAXP,3668380530.9303102
106,KRW-LBC,3359148133.321596
